Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,102.389999,102.830002,100.959999,101.870003,98.962318,35828900
2016-03-08,100.779999,101.760002,100.400002,101.029999,98.146294,31561900
2016-03-09,101.309998,101.580002,100.269997,101.120003,98.233734,27201700
2016-03-10,101.410004,102.239998,100.150002,101.169998,98.282295,33513600
2016-03-11,102.239998,102.279999,101.5,102.260002,99.341187,27408200
2016-03-14,101.910004,102.910004,101.779999,102.519997,99.593773,25076100
2016-03-15,103.959999,105.18,103.849998,104.580002,101.594978,40067700
2016-03-16,104.610001,106.309998,104.589996,105.970001,102.945305,38303500
2016-03-17,105.519997,106.470001,104.959999,105.800003,102.780144,34420700
2016-03-18,106.339996,106.5,105.190002,105.919998,102.896729,44205200
2016-03-21,105.93,107.650002,105.139999,105.910004,102.887009,35502700
2016-03-22,105.25,107.290001,105.209999,106.720001,103.673882,32444400
2016-03-23,106.480003,107.07,105.900002,106.129997,103.100731,25703500
2016-03-24,105.470001,106.25,104.889999,105.669998,102.653854,26133000
2016-03-28,106.0,106.190002,105.059998,105.190002,102.187561,19411400
2016-03-29,104.889999,107.790001,104.879997,107.68,104.606491,31190100
2016-03-30,108.650002,110.419998,108.599998,109.559998,106.432831,45601100
2016-03-31,109.720001,109.900002,108.879997,108.989998,105.879097,25888400
2016-04-01,108.779999,110.0,108.199997,109.989998,106.850548,25874000
2016-04-04,110.419998,112.190002,110.269997,111.120003,107.948303,37356200
2016-04-05,109.510002,110.730003,109.419998,109.809998,106.675682,26578700
2016-04-06,110.230003,110.980003,109.199997,110.959999,107.79287,26404100
2016-04-07,109.949997,110.419998,108.120003,108.540001,105.441956,31801900
2016-04-08,108.910004,109.769997,108.169998,108.660004,105.558517,23581700
2016-04-11,108.970001,110.610001,108.830002,109.019997,105.908234,29407500
2016-04-12,109.339996,110.5,108.660004,110.440002,107.287712,27232300
2016-04-13,110.800003,112.339996,110.800003,112.040001,108.842041,33257300
2016-04-14,111.620003,112.389999,111.330002,112.099998,108.900322,25473900
2016-04-15,112.110001,112.300003,109.730003,109.849998,106.714546,46939000
2016-04-18,108.889999,108.949997,106.940002,107.480003,104.412193,60834000
2016-04-19,107.879997,108.0,106.230003,106.910004,103.858475,32384900
2016-04-20,106.639999,108.089996,106.059998,107.129997,104.072182,30611000
2016-04-21,106.93,106.93,105.519997,105.970001,102.945305,31552500
2016-04-22,105.010002,106.480003,104.620003,105.68,102.663574,33683100
2016-04-25,105.0,105.650002,104.510002,105.080002,102.080704,28031600
2016-04-26,103.910004,105.300003,103.910004,104.349998,101.371529,56016200
2016-04-27,96.0,98.709999,95.68,97.82,95.027931,114602100
2016-04-28,97.610001,97.879997,94.25,94.830002,92.123268,82242700
2016-04-29,93.989998,94.720001,92.510002,93.739998,91.064392,68531500
2016-05-02,93.970001,94.080002,92.400002,93.639999,90.967239,48160100
2016-05-03,94.199997,95.739998,93.68,95.18,92.46328,56831300
2016-05-04,95.199997,95.900002,93.82,94.190002,91.501541,41025500
2016-05-05,94.0,94.07,92.68,93.239998,91.130135,35890500
2016-05-06,93.370003,93.449997,91.849998,92.720001,90.621895,43458200
2016-05-09,93.0,93.769997,92.589996,92.790001,90.690315,32936400
2016-05-10,93.330002,93.57,92.110001,93.419998,91.306053,33686800
2016-05-11,93.480003,93.57,92.459999,92.510002,90.416656,28719100
2016-05-12,92.720001,92.779999,89.470001,90.339996,88.295753,76314700
2016-05-13,90.0,91.669998,90.0,90.519997,88.47168,44392800
2016-05-16,92.389999,94.389999,91.650002,93.879997,91.755653,61259800
2016-05-17,94.550003,94.699997,93.010002,93.489998,91.374474,46916900
2016-05-18,94.160004,95.209999,93.889999,94.559998,92.420265,42062400
2016-05-19,94.639999,94.639999,93.57,94.199997,92.068405,30442100
2016-05-20,94.639999,95.43,94.519997,95.220001,93.065338,32026000
2016-05-23,95.870003,97.190002,95.669998,96.43,94.24794,38018600
2016-05-24,97.220001,98.089996,96.839996,97.900002,95.684692,35140200
2016-05-25,98.669998,99.739998,98.110001,99.620003,97.365761,38168800
2016-05-26,99.68,100.730003,98.639999,100.410004,98.137901,56331200
2016-05-27,99.440002,100.470001,99.25,100.349998,98.079239,36229500
2016-05-31,99.599998,100.400002,98.82,99.860001,97.600334,42307200
2016-06-01,99.019997,99.540001,98.330002,98.459999,96.232025,29173300
2016-06-02,97.599998,97.839996,96.629997,97.720001,95.508759,40191600
2016-06-03,97.790001,98.269997,97.449997,97.919998,95.704224,28062900
